title;type;year;filename;book;word_count;char_count;source
amerika_09;fiction;1913;amerika_09_fiction.txt;amerika;2229;11554;https://www.projekt-gutenberg.org/kafka/amerika/
tagebuch_068;diary;1916;tagebuch_68_diaries.txt;tagebuecher;2203;11824;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
amerika_11;fiction;1913;amerika_11_fiction.txt;amerika;2202;11542;https://www.projekt-gutenberg.org/kafka/amerika/
die_verwandlung_08;fiction;1912;die_verwandlung_08_fiction.txt;die_verwandlung;2195;11753;https://www.projekt-gutenberg.org/kafka/verwandl/
amerika_25;fiction;1913;amerika_25_fiction.txt;amerika;2195;11992;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_33;fiction;1913;amerika_33_fiction.txt;amerika;2173;11134;https://www.projekt-gutenberg.org/kafka/amerika/
die_acht_oktavenhefte_10;fiction;1917;oktavenhefte_10_fiction.txt;notizen;2170;11396;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
beim_bau_der_chinesische_mauer_02;fiction;1917;chinesische_mauer_02_fiction.txt;magazine;2169;11931;https://www.projekt-gutenberg.org/kafka/misc/chap033.html
das_schloss_13;fiction;1922;das_schloss_13_fiction.txt;das_schloss;2166;11243;https://www.projekt-gutenberg.org/kafka/schloss/
tagebuch_065;diary;1915;tagebuch_65_diaries.txt;tagebuecher;2153;12227;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
amerika_24;fiction;1913;amerika_24_fiction.txt;amerika;2150;11672;https://www.projekt-gutenberg.org/kafka/amerika/
das_schloss_19;fiction;1922;das_schloss_19_fiction.txt;das_schloss;2140;11487;https://www.projekt-gutenberg.org/kafka/schloss/
landarzt;fiction;1917;landarzt_fiction.txt;ein_landarzt;2131;10909;https://www.gutenberg.org/files/21989/21989-h/21989-h.htm
beim_bau_der_chinesische_mauer_01;fiction;1917;chinesische_mauer_01_fiction.txt;magazine;2127;11976;https://www.projekt-gutenberg.org/kafka/misc/chap033.html
amerika_06;fiction;1913;amerika_06_fiction.txt;amerika;2126;11715;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_26;fiction;1913;amerika_26_fiction.txt;amerika;2122;11499;https://www.projekt-gutenberg.org/kafka/amerika/
blumfeld_ein_älterer_jungeselle;fiction;1915;blumfeld_fiction.txt;magazine;2120;11422;https://www.projekt-gutenberg.org/kafka/blumfeld/
die_verwandlung_03;fiction;1912;die_verwandlung_03_fiction.txt;die_verwandlung;2119;11291;https://www.projekt-gutenberg.org/kafka/verwandl/
das_schloss_26;fiction;1922;das_schloss_26_fiction.txt;das_schloss;2104;11052;https://www.projekt-gutenberg.org/kafka/schloss/
amerika_34;fiction;1913;amerika_34_fiction.txt;amerika;2103;10895;https://www.projekt-gutenberg.org/kafka/amerika/
